category;criteria_txt;danger;date_inscribed;extension;http_url;id_number;image_url;iso_code;justification;latitude;location;longitude;region;revision;secondary_dates;short_description;site;states;transboundary;unique_number
Cultural;(i)(ii)(vi);;2016;0;https://whc.unesco.org/fr/list/1321;1321;https://whc.unesco.org/uploads/sites/site_1321.jpg;be,fr,de,ch,in,jp,ar;;46.4684138889;;6.8293361111;Europe et Amérique du nord;0;;Choisis parmi l’œuvre de Le Corbusier, les 17 sites qui composent ce bien en série transnational, réparti sur sept pays, témoignent de l’invention d’un nouveau langage architectural en rupture avec le passé. Ils ont été réalisés sur un demi-siècle, tout au long de ce que Le Corbusier a nommé une « recherche patiente ». Le Complexe du Capitole à Chandigarh (Inde), le Musée national des Beaux-arts de l’Occident à Tokyo (Japon), la Maison du Docteur Curutchet à La Plata (Argentine) ou encore l’Unité d’habitation de Marseille (France) reflètent les solutions que le Mouvement Moderne a cherché à apporter, au cours du XXe siècle, aux enjeux de renouvellement des techniques architecturales, afin de répondre aux besoins de la société. Ces chefs-d'œuvre du génie humain attestent également de l’internationalisation de la pratique architecturale à l’échelle de la planète.;L’Œuvre architecturale de Le Corbusier, une contribution exceptionnelle au Mouvement Moderne;Belgique,France,Allemagne,Suisse,Inde,Japon,Argentine;1;2085
Natural;(ix)(x);;1996;1;https://whc.unesco.org/fr/list/749;749;https://whc.unesco.org/uploads/sites/site_749.jpg;bj,bf,ne;;11.8841666667;;2.4877777778;Afrique;0;2017;Cette extension transnationale (Bénin, Burkina Faso) au Parc national du W au Niger, inscrit en 1996 sur la Liste du patrimoine mondial, couvre une vaste étendue de savane soudano-sahélienne intacte, avec des types de végétation comme les prairies, les brousses arbustives, les savanes boisées ou les vastes forêts-galeries. Il s’agit du plus grand et du plus important continuum d’écosystèmes terrestres, semi-aquatiques et aquatiques de la ceinture de savanes d’Afrique de l’Ouest. Le bien sert de refuge à des espèces animales qui ont disparu ailleurs en Afrique de l’Ouest ou sont très menacées. Il accueille notamment la plus grande population d’éléphants d’Afrique de l’Ouest et la plupart des grands mammifères typiques de la région, comme le lamantin d’Afrique, le guépard, le lion ou le léopard. Il abrite aussi la seule population viable de lions de la région.;Complexe W-Arly-Pendjari;Bénin,Burkina Faso,Niger;1;2129
Cultural;(iii)(vi);;2016;0;https://whc.unesco.org/fr/list/1504;1504;https://whc.unesco.org/uploads/sites/site_1504.jpg;ba,hr,rs,me;;43.0922138889;;17.9240527778;Europe et Amérique du nord;0;;Ce bien en série regroupe 28 sites, situés en Bosnie-Herzégovine, à l’ouest de la Serbie, à l’ouest du Monténégro, ainsi qu'au centre et au sud de la Croatie, qui représentent des cimetières et des tombes médiévales, ou stećci, propres à ces régions. Ces cimetières, qui datent du XIIe siècle au XVIe siècle, sont organisés en rangées, comme c’était la coutume en Europe depuis le Moyen Âge. Les stećci sont pour la plupart sculptés en pierre calcaire. Ils comportent une grande diversité de motifs décoratifs et d’inscriptions qui témoignent des continuités iconographiques dans l’Europe médiévale et de traditions locales particulières.;Cimetières de tombes médiévales stećci;Bosnie-Herzégovine,Croatie,Serbie,Monténégro;1;2094
Natural;(ix)(x);;2012;0;https://whc.unesco.org/fr/list/1380;1380;https://whc.unesco.org/uploads/sites/site_1380.jpg;cm,cf,cg;;2.6094444444;;16.5541666667;Afrique;0;;Situé dans le nord-ouest du bassin du Congo, au point de rencontre du Cameroun, du Congo et de la République centrafricaine, le site comprend trois parcs nationaux contigus, couvrant une superficie totale de 750 000 hectares, très peu affectés par l’activité humaine. On y trouve l’ensemble du spectre des écosystèmes de forêts tropicales humides. Les riches faune et flore comprennent notamment des crocodiles du Nil et des poissons-tigres Goliath, grands prédateurs. Les clairières offrent des espèces herbacées et la Sangha abrite des populations considérables d’éléphants de forêt, ainsi que des gorilles des plaines de l’ouest (en danger critique d’extinction) et des chimpanzés (en danger). L’environnement du site a permis la poursuite des processus écologiques et évolutionnaires sur une large échelle, ainsi que le maintien d’une grande biodiversité, comprenant de nombreuses espèces en danger.;Trinational de la Sangha;Cameroun,République centrafricaine,Congo;1;1920
Natural;(vii)(viii)(ix)(x);;1979;1;https://whc.unesco.org/fr/list/72;72;https://whc.unesco.org/uploads/sites/site_72.jpg;ca,us;;61.1975833300;"          Yukon, Colombie-Britannique (Canada); Alaska (Etats-Unis)
          ";-140.9919722000;Europe et Amérique du nord;0;1992, 1994;Cet ensemble impressionnant de glaciers et de hauts sommets, situé de part et d'autre de la frontière entre le Canada (territoire du Yukon et Colombie-Britannique) et les États-Unis d'Amérique (Alaska), constitue l'un des paysages naturels les plus spectaculaires du monde. Il abrite de nombreux grizzlis, caribous et mouflons de Dall et contient le champ de glace non polaire le plus vaste du monde.;Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek;Canada,États-Unis d'Amérique;1;78
Natural;(vii)(ix);;1995;0;https://whc.unesco.org/fr/list/354;354;https://whc.unesco.org/uploads/sites/site_354.jpg;ca,us;;48.9960555600;"          Province d'Alberta, Canada; Etat de Montana, Etats-Unis
          ";-113.9041667000;Europe et Amérique du nord;0;;En 1932, le parc national des Lacs-Waterton (Alberta, Canada) et le Glacier National Park (Montana, États-Unis d'Amérique) ont été réunis pour former le premier « parc international de la paix » du monde. Situé de part et d'autre de la frontière entre les deux pays, il offre des paysages d'une beauté exceptionnelle. Il est particulièrement riche en espèces végétales et en mammifères ainsi qu'en prairies, forêts, éléments alpins et glaciers.;Parc international de la paix Waterton-Glacier;Canada,États-Unis d'Amérique;1;407
Cultural;(ii)(iii)(v)(vi);;2014;0;https://whc.unesco.org/fr/list/1442;1442;https://whc.unesco.org/uploads/sites/site_1442.jpg;cn,kz,kg;;34.3044444444;;108.8572222222;Asie et pacifique;0;;"Cette section des Routes de la soie s’étend sur 5 000 km, de Chang’an/Luoyang, capitale centrale de la Chine sous les dynasties Han et Tang, jusqu’à la région de Jetyssou, en Asie centrale. Ce corridor a pris forme entre le IIe siècle av. J.-C. et le Ier siècle apr. J.-C. ; il a été utilisé jusqu’au XVIe siècle, reliant de nombreuses civilisations et facilitant des échanges à longue distance en matière de commerce mais aussi de croyances religieuses, de connaissances scientifiques, d’innovations technologiques, de pratiques culturelles et artistiques. Parmi les 33 sites inclus dans la nomination figurent d’importants ensembles de villes/palais de différents empires ou royaumes de khans, des établissements de commerce, des temples de grottes bouddhistes, des voies antiques, des relais de poste, des cols, des tours balises, des parties de la Grand Muraille, des fortifications, des tombes et des édifices religieux.";Routes de la soie : le réseau de routes du corridor de Chang’an-Tian-shan;Chine,Kazakhstan,Kirghizistan;1;1985
Natural;(vii)(viii)(ix)(x);;1983;1;https://whc.unesco.org/fr/list/205;205;https://whc.unesco.org/uploads/sites/site_205.jpg;cr,pa;;9.4070833330;"            
            ";-82.9388055600;Amérique latine et Caraïbes;0;1990;Dans cet unique endroit de l'Amérique centrale où les glaciations du quaternaire ont laissé leur marque, une situation géographique particulière a permis des échanges génétiques entre la faune et la flore de l'Amérique du Nord et celles de l'Amérique du Sud. Des forêts tropicales couvrent la plus grande partie du site. Quatre tribus indiennes différentes habitent ce site, qui bénéficie d'une étroite coopération entre le Costa Rica et le Panamá.;Réserves de la cordillère de Talamanca-La Amistad / Parc national La Amistad;Costa Rica,Panama;1;226
Natural;(ix)(x);Y 1992;1981;1;https://whc.unesco.org/fr/list/155;155;https://whc.unesco.org/uploads/sites/site_155.jpg;ci,gn;;7.6031800000;"          Région de Lola
          ";-8.3909700000;Afrique;0;1982;Situé aux confins de la Guinée, du Liberia et de la Côte d’Ivoire, le mont Nimba domine les savanes environnantes. Ses pentes, couvertes d’une forêt dense au pied d’alpages de graminées, recèlent une flore et une faune particulièrement riches, avec des espèces endémiques comme le crapaud vivipare ou les chimpanzés qui se servent de pierres comme d’outils.;Réserve naturelle intégrale du mont Nimba;Côte d'Ivoire,Guinée;1;173
Cultural;(iii)(iv);;2017;0;https://whc.unesco.org/fr/list/1533;1533;https://whc.unesco.org/uploads/sites/site_1533.jpg;hr,it,me;;45.7033333333;;9.6636111111;Europe et Amérique du nord;0;;Ce bien consiste en 6 éléments d’ouvrage de défense situés en Italie, en Croatie et au Monténégro, qui se répartissent sur plus de 1 000 km entre la région lombarde, en Italie, et la côte orientale de l’Adriatique. Les fortifications du Stato da Terra protégeaient la République de Venise, au nord-ouest, des autres puissances européennes, et celles du Stato da Mar, les routes maritimes et les ports de la mer Adriatique vers le Levant. Elles furent nécessaires pour soutenir l’expansion et le pouvoir de la Sérénissime. L’introduction de la poudre à canon entraîna d’importants changements dans les techniques et l’architecture militaires qui se reflètent dans la conception des fortifications alla moderna (ou bastionnées) qui allaient se répandre dans toute l’Europe.;Ouvrages de défense vénitiens du XVIe au XVIIe siècle : <em>Stato da Terra</em> - <em>Stato da Mar</em> occidental;Croatie,Italie,Monténégro;1;2162
Natural;(viii)(ix)(x);;2009;1;https://whc.unesco.org/fr/list/1314;1314;https://whc.unesco.org/uploads/sites/site_1314.jpg;dk,de,nl;;53.5286111111;;8.5561111111;Europe et Amérique du nord;0;2014;La mer des Wadden est considérée comme le plus grand système mondial ininterrompu de vasières et de bancs de sable à marée. Le site comprend l’aire de conservation de la mer des Wadden néerlandaise, les parcs nationaux allemands de la mer des Wadden de Basse-Saxe et Schleswig-Holstein et la majeure partie de l’aire de conservation de la mer des Wadden danoise. Cet écosystème tempéré de zones humides côtières est le fruit d’interactions particulièrement complexes entre des facteurs physiques et biologiques. On y trouve une multitude d’habitats de transition : chenaux à marée, bancs de sable, prairies d’herbe marines, moulières, barres de sable, vasières, marais salés, estuaires, plages et dunes. L’endroit héberge de nombreuses espèces de plantes et d’animaux, dont des mammifères marins comme le phoque commun, le phoque gris et le marsouin commun. Le site est un des derniers écosystèmes intertidaux naturels à grande échelle où les processus naturels se poursuivent de manière quasi non perturbée.;La mer des Wadden ;Danemark,Allemagne,Pays-Bas;1;1967
Natural;(ix)(x);;2003;0;https://whc.unesco.org/fr/list/769;769;https://whc.unesco.org/uploads/sites/site_769.jpg;ru,mn;Le Bassin d’Ubs Nuur, qui couvre une surface de plus de un million d’hectares, est le bassin fermé le plus septentrional d’Asie centrale. Il tire son nom de l’Ubs Nuur, un grand lac peu profond et très salé, qui joue un rôle important dans la vie des oiseaux migrateurs, tant aquatiques que marins. Le site, divisé en douze aires protégées, comprend une vaste gamme d’écosystèmes qui représentent les principaux biomes de l’Eurasie orientale. L’écosystème steppique entretient une riche diversité d’oiseaux et le désert un certain nombre de gerbilles, gerboises et putois marbrés rares. Les montagnes sont d’importants refuges pour le léopard des neiges (une espèce menacée), l’argali et le bouquetin d’Asie.;50.2750000000;"                        Ubs Aimag, Zavhan Aimag, Huvsgul Aimag (Mongolie) ; Mongun-Taiga Kojuun, Ovur Kojuun, Tes-Khem Kojuun, Ersin Kojuun (Touva)
            
            ";92.7197222200;Europe et Amérique du nord;0;;Le Bassin d’Ubs Nuur, qui couvre une surface de plus de un million d’hectares, est le bassin fermé le plus septentrional d’Asie centrale. Il tire son nom de l’Ubs Nuur, un grand lac peu profond et très salé, qui joue un rôle important dans la vie des oiseaux migrateurs, tant aquatiques que marins. Le site, divisé en douze aires protégées, comprend une vaste gamme d’écosystèmes qui représentent les principaux biomes de l’Eurasie orientale. L’écosystème steppique entretient une riche diversité d’oiseaux et le désert un certain nombre de gerbilles, gerboises et putois marbrés rares. Les montagnes sont d’importants refuges pour le léopard des neiges (une espèce menacée), l’argali et le bouquetin d’Asie.;Bassin d’Ubs Nuur;Fédération de Russie,Mongolie;1;909
Natural;(ix)(x);;2017;0;https://whc.unesco.org/fr/list/1448;1448;https://whc.unesco.org/uploads/sites/site_1448.jpg;ru,mn;;49.9302222222;;115.4254444444;Europe et Amérique du nord;0;;Partagé entre la Fédération de Russie et la Mongolie, ce site est un exemple exceptionnel de l’écorégion de la steppe daourienne, qui s’étend de l’est de la Mongolie jusqu’à la Sibérie russe et au nord-est de la Chine. Les changements cycliques de climat, avec des périodes sèches et humides marquées, favorisent une grande diversité d’espèces et d’écosystèmes d’importance mondiale. Les différents types d'écosystèmes steppiques représentés, comme les prairies et les forêts, ainsi que les lacs et les marécages, servent d’habitats à des espèces de faune rares, telles que la grue à cou blanc, l’outarde barbue, la mouette relique et le l’oie cygnoïde, ainsi qu’à des millions d’oiseaux migrateurs vulnérables, en danger ou menacés. C’est également un site important sur la route migratoire transfrontalière de la gazelle de Daourie.;Paysages de la Dauria;Fédération de Russie,Mongolie;1;2150
Natural;(viii);;2000;1;https://whc.unesco.org/fr/list/898;898;https://whc.unesco.org/uploads/sites/site_898.jpg;fi,se;;63.3000000000;;21.3000000000;Europe et Amérique du nord;0;2006;L’archipel de Kvarken (Finlande) et la Haute côte (Suède) sont situés dans le golfe de Botnie, qui prolonge la mer Baltique vers le nord. Les 5 600 îles et îlots se singularisent principalement par les curieuses moraines à crête bosselées, ou moraines de Geer, formées par la fonte de la nappe de glace continentale composées il y a entre 10 000 et 24 000 ans. L’archipel de Kvarken s’élève de manière continue du niveau de la mer du fait d’un relèvement glacio-isostatique rapide, lorsqu’une terre précédemment comprimée par le poids d’un glacier se relève après la disparition de ce dernier, fait de ce taux de relèvement dans la région l’un des plus élevés au monde. Du fait de l’avancée du littoral, des îles apparaissent et s’unissent, des péninsules grandissent, des lacs se forment depuis les baies et deviennent des marais et des fagnes tourbeuses. La Haute côte a aussi été largement façonnée par l’association de processus de glaciation, de recul des glaciers et d''émergence de nouvelles terres. Depuis le retrait final des glaces de la Haute côte, il y a 9 600 ans, le relèvement est de l''ordre de 285 m, ce qui correspond au « rebond » manifeste le plus important jamais observé. La Haute côte est un site exceptionnel pour la compréhension des processus importants qui ont formé les glaciers et les zones de relèvement de la surface de la Terre.;Haute Côte / Archipel de Kvarken;Finlande,Suède;1;1050
